time,temperature_2m_(°c),precipitation_(mm),wind_speed_10m_(m/s),wind_gusts_10m_(m/s),wind_direction_10m_(°)
2020-01-01T00:00,-2.2,0.1,9.6,21.3,284
2020-01-01T01:00,-2.2,0.0,10.6,23.0,282
2020-01-01T02:00,-2.3,0.0,11.0,23.5,284
2020-01-01T03:00,-2.3,0.0,10.6,23.3,284
2020-01-01T04:00,-2.7,0.0,10.6,22.8,284
2020-01-01T05:00,-2.8,0.0,10.3,22.6,286
2020-01-01T06:00,-2.8,0.0,9.6,21.8,286
2020-01-01T07:00,-2.9,0.0,9.7,20.7,284
2020-01-01T08:00,-2.8,0.0,9.4,20.5,284
2020-01-01T09:00,-2.7,0.0,9.3,19.5,284
2020-01-01T10:00,-2.8,0.0,9.4,20.2,282
2020-01-01T11:00,-2.6,0.0,9.2,19.9,286
2020-01-01T12:00,-2.4,0.0,9.2,19.5,282
2020-01-01T13:00,-2.8,0.0,8.7,19.1,278
2020-01-01T14:00,-3.1,0.0,8.5,18.0,280
2020-01-01T15:00,-2.6,0.0,8.0,17.9,280
2020-01-01T16:00,-2.3,0.0,8.2,18.0,282
2020-01-01T17:00,-2.1,0.0,8.2,18.2,280
2020-01-01T18:00,-1.9,0.0,7.6,17.7,270
2020-01-01T19:00,-1.5,0.0,7.2,17.4,272
2020-01-01T20:00,-1.5,0.0,7.9,17.8,272
2020-01-01T21:00,-1.5,0.0,8.4,18.3,276
2020-01-01T22:00,-0.7,0.0,9.6,20.9,276
2020-01-01T23:00,-0.4,0.0,9.9,21.7,278
2020-01-02T00:00,-0.6,0.0,9.2,21.6,278
2020-01-02T01:00,-1.8,0.0,8.3,19.5,278
2020-01-02T02:00,-1.9,0.0,8.0,18.6,270
2020-01-02T03:00,-1.3,0.0,7.4,18.7,262
2020-01-02T04:00,-1.5,0.0,5.6,17.8,248
2020-01-02T05:00,-1.6,0.0,4.2,13.2,242
2020-01-02T06:00,-1.5,0.0,4.1,10.3,244
2020-01-02T07:00,-2.1,0.0,3.5,9.5,226
2020-01-02T08:00,-1.6,0.0,3.2,8.2,202
2020-01-02T09:00,-1.1,0.0,4.3,9.8,218
2020-01-02T10:00,-1.3,0.0,4.8,11.1,220
2020-01-02T11:00,-1.5,0.0,6.2,14.0,220
2020-01-02T12:00,-1.8,0.0,7.2,16.0,222
