date,priceArea,prod_quantityKwh_sum,prod_quantityKwh_mean,cons_quantityKwh_sum,cons_quantityKwh_mean,cons_countMeteringPoints_sum,net_quantityKwh_sum
2025-10-22,NO1,11884600.712,475384.02848,18206652.551,728266.1020399999,0.0,-6322051.839
2025-10-22,NO2,34574934.948,1152497.8316,18801261.354000002,752050.4541600001,0.0,15773673.593999997
2025-10-22,NO3,16199812.938000001,647992.51752,15643622.47,625744.8988000001,0.0,556190.4680000003
2025-10-22,NO4,17637494.115,705499.7645999999,11442853.865,457714.1546,0.0,6194640.249999998
2025-10-22,NO5,16991737.577999998,566391.2525999999,8958708.05,358348.32200000004,0.0,8033029.527999997
2025-10-23,NO1,57574308.793,479785.9066083333,93556148.566,779634.5713833333,0.0,-35981839.773
2025-10-23,NO2,143931497.357,1013602.0940633803,95296241.016,794135.3418,0.0,48635256.34099999
2025-10-23,NO3,79541120.653,662842.6721083333,76787976.398,639899.8033166666,0.0,2753144.254999995
2025-10-23,NO4,82586394.076,688219.9506333334,55313358.646,460944.65538333333,0.0,27273035.430000007
2025-10-23,NO5,82074292.088,569960.3617222222,44432922.557,370274.35464166664,0.0,37641369.531
2025-10-24,NO1,61516802.160000004,512640.01800000004,87123676.97,726030.6414166667,0.0,-25606874.809999995
2025-10-24,NO2,85827820.527,715231.837725,97763426.364,814695.2196999999,0.0,-11935605.836999997
2025-10-24,NO3,78848256.317,657068.8026416667,79355047.22,661292.0601666666,0.0,-506790.90299999714
2025-10-24,NO4,86308553.137,719237.9428083333,55342072.351,461183.9362583334,0.0,30966480.78599999
2025-10-24,NO5,52521455.771,364732.33174305555,45667363.451,380561.36209166667,0.0,6854092.32
2025-10-25,NO1,60701197.479,505843.312325,80737003.282,672808.3606833334,0.0,-20035805.803000003
2025-10-25,NO2,64430934.728,536924.4560666666,97005365.887,808378.0490583333,0.0,-32574431.158999994
2025-10-25,NO3,75054652.11,625455.43425,77262023.345,643850.1945416667,0.0,-2207371.2349999994
2025-10-25,NO4,75934117.162,632784.3096833334,54955020.51,457958.50425,0.0,20979096.652000003
2025-10-25,NO5,41414302.766,287599.3247638889,48705529.074,405879.40895,0.0,-7291226.307999998
2025-10-26,NO1,61581929.504,513182.74586666666,82244528.278,685371.0689833333,0.0,-20662598.773999996
2025-10-26,NO2,63983758.559,533197.9879916667,98699709.141,822497.576175,0.0,-34715950.582
2025-10-26,NO3,54640623.342,455338.52785,77631513.446,646929.2787166666,0.0,-22990890.103999995
2025-10-26,NO4,79405565.422,661713.0451833333,49608987.355000004,413408.2279583334,0.0,29796578.067
2025-10-26,NO5,44246511.689,307267.44228472223,49076369.852,408969.7487666666,0.0,-4829858.162999995
2025-10-27,NO1,64348873.657,536240.6138083333,92840335.097,773669.4591416667,0.0,-28491461.440000005
2025-10-27,NO2,141115266.613,1175960.5551083335,98653238.867,822110.3238916666,0.0,42462027.74600001
2025-10-27,NO3,71735049.654,597792.08045,80989170.253,674909.7521083334,0.0,-9254120.599000007
2025-10-27,NO4,101517660.388,845980.5032333334,55370733.891,461422.78242500004,0.0,46146926.496999994
2025-10-27,NO5,72961200.482,506675.00334722217,46144720.479,384539.33732500003,0.0,26816480.00299999
2025-10-28,NO1,62931182.65,524426.5220833333,99372074.968,828100.6247333332,0.0,-36440892.317999996
2025-10-28,NO2,128419491.556,1070162.4296333333,100498669.757,837488.9146416667,0.0,27920821.798999995
2025-10-28,NO3,88384257.758,736535.4813166667,81447541.543,678729.5128583333,0.0,6936716.215000004
2025-10-28,NO4,95798590.415,798321.5867916667,55078323.339,458986.027825,0.0,40720267.076000005
2025-10-28,NO5,69547058.271,482965.6824375,46886600.657,390721.67214166664,0.0,22660457.614
2025-10-29,NO1,65400572.016,545004.7668,100980664.166,841505.5347166666,0.0,-35580092.14999999
2025-10-29,NO2,157701359.764,1314177.9980333333,102217626.215,851813.5517916667,0.0,55483733.548999995
2025-10-29,NO3,85630936.053,713591.133775,83107895.493,692565.795775,0.0,2523040.5600000024
2025-10-29,NO4,98510776.687,820923.1390583334,55606725.283,463389.3773583333,0.0,42904051.40400001
2025-10-29,NO5,88165824.67,612262.6713194444,44758639.978,372988.66648333333,0.0,43407184.692
2025-10-30,NO1,68355911.883,569632.599025,102767922.946,856399.3578833333,0.0,-34412011.06299999
2025-10-30,NO2,136920428.459,1141003.5704916667,101085857.974,842382.1497833334,0.0,35834570.484999985
2025-10-30,NO3,78885660.462,657380.50385,86775644.357,723130.3696416666,0.0,-7889983.894999996
2025-10-30,NO4,100390138.348,836584.4862333334,57034916.584,475290.9715333333,0.0,43355221.764000006
2025-10-30,NO5,79344719.558,551004.9969305556,46557458.261,387978.8188416667,0.0,32787261.297
2025-10-31,NO1,65510216.536,545918.4711333333,108702668.684,905855.5723666666,0.0,-43192452.148
2025-10-31,NO2,158208171.219,1318401.4268250002,100128872.937,834407.2744750001,0.0,58079298.282000005
2025-10-31,NO3,91621550.343,763512.9195249999,86615424.297,721795.202475,0.0,5006126.045999989
2025-10-31,NO4,90328530.066,752737.75055,57581224.445,479843.5370416667,0.0,32747305.621
2025-10-31,NO5,86078831.592,597769.6638333333,47552921.889,396274.349075,0.0,38525909.702999994
2025-11-01,NO1,63118664.757,525988.872975,96098380.167,800819.834725,0.0,-32979715.409999996
2025-11-01,NO2,116267425.92999999,968895.2160833332,99109506.741,825912.5561749999,0.0,17157919.188999996
2025-11-01,NO3,93841301.36400001,782010.8447,79979898.181,666499.1515083333,0.0,13861403.183000013
2025-11-01,NO4,83113293.177,692610.776475,56719919.623,472665.99685833335,0.0,26393373.553999998
2025-11-01,NO5,55061923.884,382374.4714166667,45830220.225,381918.501875,0.0,9231703.659000002
2025-11-02,NO1,65006068.104,541717.2342000001,87729733.206,731081.11005,0.0,-22723665.101999998
2025-11-02,NO2,138655116.348,1155459.3029,92162414.704,768020.1225333333,0.0,46492701.643999994
2025-11-02,NO3,80973551.935,674779.5994583333,77891507.173,649095.8931083332,0.0,3082044.7620000094
2025-11-02,NO4,94111961.096,784266.3424666667,54847202.722,457060.0226833334,0.0,39264758.374
2025-11-02,NO5,79382949.875,551270.4852430555,44305447.463,369212.0621916667,0.0,35077502.412
