date,priceArea,quantityKwh_sum,quantityKwh_mean,countMeteringPoints_sum
2025-10-22,NO1,18206652.551,728266.1020399999,0.0
2025-10-22,NO2,18801261.354000002,752050.4541600001,0.0
2025-10-22,NO3,15643622.47,625744.8988000001,0.0
2025-10-22,NO4,11442853.865,457714.1546,0.0
2025-10-22,NO5,8958708.05,358348.32200000004,0.0
2025-10-23,NO1,93556148.566,779634.5713833333,0.0
2025-10-23,NO2,95296241.016,794135.3418,0.0
2025-10-23,NO3,76787976.398,639899.8033166666,0.0
2025-10-23,NO4,55313358.646,460944.65538333333,0.0
2025-10-23,NO5,44432922.557,370274.35464166664,0.0
2025-10-24,NO1,87123676.97,726030.6414166667,0.0
2025-10-24,NO2,97763426.364,814695.2196999999,0.0
2025-10-24,NO3,79355047.22,661292.0601666666,0.0
2025-10-24,NO4,55342072.351,461183.9362583334,0.0
2025-10-24,NO5,45667363.451,380561.36209166667,0.0
2025-10-25,NO1,80737003.282,672808.3606833334,0.0
2025-10-25,NO2,97005365.887,808378.0490583333,0.0
2025-10-25,NO3,77262023.345,643850.1945416667,0.0
2025-10-25,NO4,54955020.51,457958.50425,0.0
2025-10-25,NO5,48705529.074,405879.40895,0.0
2025-10-26,NO1,82244528.278,685371.0689833333,0.0
2025-10-26,NO2,98699709.141,822497.576175,0.0
2025-10-26,NO3,77631513.446,646929.2787166666,0.0
2025-10-26,NO4,49608987.355000004,413408.2279583334,0.0
2025-10-26,NO5,49076369.852,408969.7487666666,0.0
2025-10-27,NO1,92840335.097,773669.4591416667,0.0
2025-10-27,NO2,98653238.867,822110.3238916666,0.0
2025-10-27,NO3,80989170.253,674909.7521083334,0.0
2025-10-27,NO4,55370733.891,461422.78242500004,0.0
2025-10-27,NO5,46144720.479,384539.33732500003,0.0
2025-10-28,NO1,99372074.968,828100.6247333332,0.0
2025-10-28,NO2,100498669.757,837488.9146416667,0.0
2025-10-28,NO3,81447541.543,678729.5128583333,0.0
2025-10-28,NO4,55078323.339,458986.027825,0.0
2025-10-28,NO5,46886600.657,390721.67214166664,0.0
2025-10-29,NO1,100980664.166,841505.5347166666,0.0
2025-10-29,NO2,102217626.215,851813.5517916667,0.0
2025-10-29,NO3,83107895.493,692565.795775,0.0
2025-10-29,NO4,55606725.283,463389.3773583333,0.0
2025-10-29,NO5,44758639.978,372988.66648333333,0.0
2025-10-30,NO1,102767922.946,856399.3578833333,0.0
2025-10-30,NO2,101085857.974,842382.1497833334,0.0
2025-10-30,NO3,86775644.357,723130.3696416666,0.0
2025-10-30,NO4,57034916.584,475290.9715333333,0.0
2025-10-30,NO5,46557458.261,387978.8188416667,0.0
2025-10-31,NO1,108702668.684,905855.5723666666,0.0
2025-10-31,NO2,100128872.937,834407.2744750001,0.0
2025-10-31,NO3,86615424.297,721795.202475,0.0
2025-10-31,NO4,57581224.445,479843.5370416667,0.0
2025-10-31,NO5,47552921.889,396274.349075,0.0
2025-11-01,NO1,96098380.167,800819.834725,0.0
2025-11-01,NO2,99109506.741,825912.5561749999,0.0
2025-11-01,NO3,79979898.181,666499.1515083333,0.0
2025-11-01,NO4,56719919.623,472665.99685833335,0.0
2025-11-01,NO5,45830220.225,381918.501875,0.0
2025-11-02,NO1,87729733.206,731081.11005,0.0
2025-11-02,NO2,92162414.704,768020.1225333333,0.0
2025-11-02,NO3,77891507.173,649095.8931083332,0.0
2025-11-02,NO4,54847202.722,457060.0226833334,0.0
2025-11-02,NO5,44305447.463,369212.0621916667,0.0
2025-11-03,NO1,95623931.117,796866.0926416666,0.0
2025-11-03,NO2,96240320.302,802002.6691833333,0.0
2025-11-03,NO3,81889072.549,682408.9379083333,0.0
2025-11-03,NO4,57186606.233,476555.0519416667,0.0
2025-11-03,NO5,45943641.625,382863.68020833336,0.0
2025-11-04,NO1,89471759.915,745597.9992916667,0.0
2025-11-04,NO2,96224704.205,801872.5350416667,0.0
2025-11-04,NO3,80327484.129,669395.701075,0.0
2025-11-04,NO4,56133613.477,467780.11230833334,0.0
2025-11-04,NO5,45420106.904,378500.8908666667,0.0
2025-11-05,NO1,86201547.086,718346.2257166667,0.0
2025-11-05,NO2,94666067.15,788883.8929166667,0.0
2025-11-05,NO3,80087218.167,667393.484725,0.0
2025-11-05,NO4,54508854.496,454240.45413333335,0.0
2025-11-05,NO5,44324194.786,369368.2898833333,0.0
2025-11-06,NO1,87408452.262,728403.76885,0.0
2025-11-06,NO2,93433891.351,778615.7612583333,0.0
2025-11-06,NO3,82209506.979,685079.224825,0.0
2025-11-06,NO4,55923726.713,466031.05594166665,0.0
2025-11-06,NO5,44264821.745,368873.51454166666,0.0
2025-11-07,NO1,86715768.282,722631.40235,0.0
2025-11-07,NO2,93743147.491,781192.8957583333,0.0
2025-11-07,NO3,81221137.915,676842.8159583334,0.0
2025-11-07,NO4,56461607.198,470513.39331666665,0.0
2025-11-07,NO5,43683588.483,364029.904025,0.0
2025-11-08,NO1,83167892.845,693065.7737083334,0.0
2025-11-08,NO2,91874585.793,765621.548275,0.0
