date,priceArea,quantityKwh_sum,quantityKwh_mean
2025-10-22,NO1,11884600.712,475384.02848
2025-10-22,NO2,34574934.948,1152497.8316
2025-10-22,NO3,16199812.938000001,647992.51752
2025-10-22,NO4,17637494.115,705499.7645999999
2025-10-22,NO5,16991737.577999998,566391.2525999999
2025-10-23,NO1,57574308.793,479785.9066083333
2025-10-23,NO2,143931497.357,1013602.0940633803
2025-10-23,NO3,79541120.653,662842.6721083333
2025-10-23,NO4,82586394.076,688219.9506333334
2025-10-23,NO5,82074292.088,569960.3617222222
2025-10-24,NO1,61516802.160000004,512640.01800000004
2025-10-24,NO2,85827820.527,715231.837725
2025-10-24,NO3,78848256.317,657068.8026416667
2025-10-24,NO4,86308553.137,719237.9428083333
2025-10-24,NO5,52521455.771,364732.33174305555
2025-10-25,NO1,60701197.479,505843.312325
2025-10-25,NO2,64430934.728,536924.4560666666
2025-10-25,NO3,75054652.11,625455.43425
2025-10-25,NO4,75934117.162,632784.3096833334
2025-10-25,NO5,41414302.766,287599.3247638889
2025-10-26,NO1,61581929.504,513182.74586666666
2025-10-26,NO2,63983758.559,533197.9879916667
2025-10-26,NO3,54640623.342,455338.52785
2025-10-26,NO4,79405565.422,661713.0451833333
2025-10-26,NO5,44246511.689,307267.44228472223
2025-10-27,NO1,64348873.657,536240.6138083333
2025-10-27,NO2,141115266.613,1175960.5551083335
2025-10-27,NO3,71735049.654,597792.08045
2025-10-27,NO4,101517660.388,845980.5032333334
2025-10-27,NO5,72961200.482,506675.00334722217
2025-10-28,NO1,62931182.65,524426.5220833333
2025-10-28,NO2,128419491.556,1070162.4296333333
2025-10-28,NO3,88384257.758,736535.4813166667
2025-10-28,NO4,95798590.415,798321.5867916667
2025-10-28,NO5,69547058.271,482965.6824375
2025-10-29,NO1,65400572.016,545004.7668
2025-10-29,NO2,157701359.764,1314177.9980333333
2025-10-29,NO3,85630936.053,713591.133775
2025-10-29,NO4,98510776.687,820923.1390583334
2025-10-29,NO5,88165824.67,612262.6713194444
2025-10-30,NO1,68355911.883,569632.599025
2025-10-30,NO2,136920428.459,1141003.5704916667
2025-10-30,NO3,78885660.462,657380.50385
2025-10-30,NO4,100390138.348,836584.4862333334
2025-10-30,NO5,79344719.558,551004.9969305556
2025-10-31,NO1,65510216.536,545918.4711333333
2025-10-31,NO2,158208171.219,1318401.4268250002
2025-10-31,NO3,91621550.343,763512.9195249999
2025-10-31,NO4,90328530.066,752737.75055
2025-10-31,NO5,86078831.592,597769.6638333333
2025-11-01,NO1,63118664.757,525988.872975
2025-11-01,NO2,116267425.92999999,968895.2160833332
2025-11-01,NO3,93841301.36400001,782010.8447
2025-11-01,NO4,83113293.177,692610.776475
2025-11-01,NO5,55061923.884,382374.4714166667
2025-11-02,NO1,65006068.104,541717.2342000001
2025-11-02,NO2,138655116.348,1155459.3029
2025-11-02,NO3,80973551.935,674779.5994583333
2025-11-02,NO4,94111961.096,784266.3424666667
2025-11-02,NO5,79382949.875,551270.4852430555
2025-11-03,NO1,62571109.28,521425.9106666667
2025-11-03,NO2,135306239.418,1127551.99515
2025-11-03,NO3,78166367.351,651386.3945916666
