date,priceArea,productionGroup,quantityKwh_sum,quantityKwh_mean
2025-10-22,NO1,HYDRO,11417740.8,2283548.16
2025-10-22,NO1,OTHER,117.02799999999999,23.4056
2025-10-22,NO1,SOLAR,1950.554,390.11080000000004
2025-10-22,NO1,THERMAL,51373.58,10274.716
2025-10-22,NO1,WIND,413418.75,82683.75
2025-10-22,NO2,*,0.0,0.0
2025-10-22,NO2,HYDRO,34428431.5,6885686.3
2025-10-22,NO2,OTHER,302.769,60.5538
2025-10-22,NO2,SOLAR,678.919,135.78379999999999
2025-10-22,NO2,THERMAL,86695.1,17339.02
2025-10-22,NO2,WIND,58826.66,11765.332
2025-10-22,NO3,HYDRO,14496158.2,2899231.6399999997
2025-10-22,NO3,OTHER,203.404,40.6808
2025-10-22,NO3,SOLAR,61.534,12.306799999999999
2025-10-22,NO3,THERMAL,25357.59,5071.518
2025-10-22,NO3,WIND,1678032.21,335606.442
2025-10-22,NO4,HYDRO,15643357.5,3128671.5
2025-10-22,NO4,OTHER,98.732,19.7464
2025-10-22,NO4,SOLAR,0.003,0.0006000000000000001
2025-10-22,NO4,THERMAL,854714.0,170942.8
2025-10-22,NO4,WIND,1139323.88,227864.77599999998
2025-10-22,NO5,*,0.006,0.0012000000000000001
2025-10-22,NO5,HYDRO,16888838.6,3377767.72
2025-10-22,NO5,OTHER,0.0,0.0
2025-10-22,NO5,SOLAR,219.017,43.803399999999996
2025-10-22,NO5,THERMAL,102679.955,20535.991
2025-10-22,NO5,WIND,0.0,0.0
2025-10-23,NO1,HYDRO,55627515.4,2317813.1416666666
2025-10-23,NO1,OTHER,883.822,36.825916666666664
2025-10-23,NO1,SOLAR,54752.178,2281.34075
2025-10-23,NO1,THERMAL,244615.91,10192.329583333334
2025-10-23,NO1,WIND,1646541.483,68605.895125
2025-10-23,NO2,*,0.0,0.0
2025-10-23,NO2,HYDRO,130425883.8,5434411.825
2025-10-23,NO2,OTHER,8132.454,338.85224999999997
2025-10-23,NO2,SOLAR,34385.701,1432.7375416666666
2025-10-23,NO2,THERMAL,383301.784,15970.907666666666
2025-10-23,NO2,WIND,13079793.618,544991.40075
2025-10-23,NO3,HYDRO,74917507.4,3121562.8083333336
2025-10-23,NO3,OTHER,961.696,40.07066666666667
2025-10-23,NO3,SOLAR,4810.213,200.42554166666665
2025-10-23,NO3,THERMAL,123073.17,5128.04875
2025-10-23,NO3,WIND,4494768.174,187282.00725
2025-10-23,NO4,HYDRO,74671171.4,3111298.8083333336
2025-10-23,NO4,OTHER,536.06,22.33583333333333
2025-10-23,NO4,SOLAR,54.156,2.2565
2025-10-23,NO4,THERMAL,4004381.0,166849.20833333334
2025-10-23,NO4,WIND,3910251.46,162927.14416666667
2025-10-23,NO5,*,8.922,0.37175
2025-10-23,NO5,HYDRO,81605269.8,3400219.5749999997
2025-10-23,NO5,OTHER,119.543,4.980958333333334
2025-10-23,NO5,SOLAR,10097.254,420.7189166666667
2025-10-23,NO5,THERMAL,458794.84,19116.451666666668
2025-10-23,NO5,WIND,1.729,0.07204166666666667
2025-10-24,NO1,HYDRO,55710017.7,2321250.7375000003
2025-10-24,NO1,OTHER,1116.824,46.534333333333336
2025-10-24,NO1,SOLAR,13920.328,580.0136666666666
2025-10-24,NO1,THERMAL,265221.438,11050.893250000001
2025-10-24,NO1,WIND,5526525.87,230271.91125
2025-10-24,NO2,HYDRO,71674867.8,2986452.8249999997
2025-10-24,NO2,OTHER,1544.903,64.37095833333333
2025-10-24,NO2,SOLAR,14724.173999999999,613.50725
2025-10-24,NO2,THERMAL,360984.69,15041.02875
2025-10-24,NO2,WIND,13775698.96,573987.4566666667
2025-10-24,NO3,HYDRO,64641488.6,2693395.3583333334
2025-10-24,NO3,OTHER,925.757,38.57320833333333
2025-10-24,NO3,SOLAR,2059.3199999999997,85.80499999999999
2025-10-24,NO3,THERMAL,220722.33000000002,9196.76375
2025-10-24,NO3,WIND,13983060.31,582627.5129166667
2025-10-24,NO4,HYDRO,75458878.4,3144119.9333333336
2025-10-24,NO4,OTHER,391.0,16.291666666666668
2025-10-24,NO4,SOLAR,112.657,4.694041666666666
2025-10-24,NO4,THERMAL,4704998.0,196041.58333333334
2025-10-24,NO4,WIND,6144173.08,256007.21166666667
2025-10-24,NO5,*,0.035,0.0014583333333333334
2025-10-24,NO5,HYDRO,52020461.7,2167519.2375000003
2025-10-24,NO5,OTHER,2.287,0.09529166666666666
2025-10-24,NO5,SOLAR,589.818,24.57575
2025-10-24,NO5,THERMAL,500401.927,20850.08029166667
2025-10-24,NO5,WIND,0.004,0.00016666666666666666
2025-10-25,NO1,HYDRO,58500559.3,2437523.3041666667
2025-10-25,NO1,OTHER,1479.485,61.64520833333333
2025-10-25,NO1,SOLAR,58255.455,2427.310625
2025-10-25,NO1,THERMAL,289919.669,12079.986208333334
2025-10-25,NO1,WIND,1850983.57,77124.31541666666
2025-10-25,NO2,HYDRO,57845844.6,2410243.525
2025-10-25,NO2,OTHER,2636.54,109.85583333333334
2025-10-25,NO2,SOLAR,45765.119999999995,1906.8799999999999
2025-10-25,NO2,THERMAL,390414.788,16267.282833333333
2025-10-25,NO2,WIND,6146273.68,256094.73666666666
2025-10-25,NO3,HYDRO,47533289.7,1980553.7375
2025-10-25,NO3,OTHER,1756.94,73.20583333333333
2025-10-25,NO3,SOLAR,8818.07,367.4195833333333
2025-10-25,NO3,THERMAL,535772.81,22323.867083333334
2025-10-25,NO3,WIND,26975014.59,1123958.94125
2025-10-25,NO4,HYDRO,57406950.3,2391956.2624999997
2025-10-25,NO4,OTHER,536.6560000000001,22.36066666666667
2025-10-25,NO4,SOLAR,38.766,1.6152499999999999
2025-10-25,NO4,THERMAL,4406788.0,183616.16666666666
2025-10-25,NO4,WIND,14119803.44,588325.1433333333
2025-10-25,NO5,*,3.8529999999999998,0.16054166666666667
2025-10-25,NO5,HYDRO,40910617.8,1704609.075
2025-10-25,NO5,OTHER,279.51500000000004,11.646458333333335
2025-10-25,NO5,SOLAR,7583.663,315.9859583333333
2025-10-25,NO5,THERMAL,495817.441,20659.060041666668
2025-10-25,NO5,WIND,0.494,0.020583333333333332
2025-10-26,NO1,HYDRO,60837679.4,2534903.308333333
2025-10-26,NO1,OTHER,926.992,38.62466666666666
2025-10-26,NO1,SOLAR,79604.672,3316.8613333333337
2025-10-26,NO1,THERMAL,279904.46,11662.685833333335
2025-10-26,NO1,WIND,383813.98,15992.249166666666
2025-10-26,NO2,HYDRO,59217230.9,2467384.620833333
2025-10-26,NO2,OTHER,2171.045,90.46020833333334
2025-10-26,NO2,SOLAR,115276.348,4803.181166666666
2025-10-26,NO2,THERMAL,402375.95,16765.664583333335
2025-10-26,NO2,WIND,4246704.316,176946.01316666664
2025-10-26,NO3,HYDRO,50757938.3,2114914.095833333
2025-10-26,NO3,OTHER,984.722,41.03008333333333
2025-10-26,NO3,SOLAR,2366.377,98.59904166666666
2025-10-26,NO3,THERMAL,556712.91,23196.37125
2025-10-26,NO3,WIND,3322621.033,138442.54304166665
2025-10-26,NO4,HYDRO,60734734.4,2530613.933333333
2025-10-26,NO4,OTHER,476.8,19.866666666666667
2025-10-26,NO4,SOLAR,20.352,0.848
2025-10-26,NO4,THERMAL,1243366.0,51806.916666666664
2025-10-26,NO4,WIND,17426967.87,726123.66125
2025-10-26,NO5,*,0.074,0.0030833333333333333
2025-10-26,NO5,HYDRO,43760070.4,1823336.2666666666
2025-10-26,NO5,OTHER,61.469,2.5612083333333335
2025-10-26,NO5,SOLAR,4402.506,183.43775000000002
2025-10-26,NO5,THERMAL,481976.667,20082.361125
2025-10-26,NO5,WIND,0.573,0.023874999999999997
2025-10-27,NO1,HYDRO,63688589.3,2653691.220833333
2025-10-27,NO1,OTHER,952.79,39.69958333333333
2025-10-27,NO1,SOLAR,70267.556,2927.8148333333334
2025-10-27,NO1,THERMAL,155607.74,6483.655833333333
2025-10-27,NO1,WIND,433456.271,18060.677958333334
2025-10-27,NO2,HYDRO,131917333.5,5496555.5625
2025-10-27,NO2,OTHER,4487.013,186.958875
2025-10-27,NO2,SOLAR,90231.968,3759.665333333333
2025-10-27,NO2,THERMAL,382421.231,15934.217958333335
2025-10-27,NO2,WIND,8720792.901,363366.370875
2025-10-27,NO3,HYDRO,60178493.5,2507437.2291666665
2025-10-27,NO3,OTHER,887.615,36.983958333333334
2025-10-27,NO3,SOLAR,1905.135,79.380625
2025-10-27,NO3,THERMAL,514280.32,21428.346666666668
2025-10-27,NO3,WIND,11039483.084,459978.46183333336
2025-10-27,NO4,HYDRO,81675111.4,3403129.641666667
2025-10-27,NO4,OTHER,1156.932,48.2055
2025-10-27,NO4,SOLAR,68.066,2.8360833333333333
2025-10-27,NO4,THERMAL,4292734.0,178863.91666666666
2025-10-27,NO4,WIND,15548589.99,647857.91625
2025-10-27,NO5,*,11.213,0.4672083333333333
2025-10-27,NO5,HYDRO,72496840.9,3020701.704166667
2025-10-27,NO5,OTHER,338.259,14.094125
2025-10-27,NO5,SOLAR,17122.264,713.4276666666666
2025-10-27,NO5,THERMAL,446885.87200000003,18620.24466666667
2025-10-27,NO5,WIND,1.974,0.08225
2025-10-28,NO1,HYDRO,62268391.5,2594516.3125
2025-10-28,NO1,OTHER,758.897,31.620708333333337
2025-10-28,NO1,SOLAR,74131.861,3088.827541666667
2025-10-28,NO1,THERMAL,181301.815,7554.2422916666665
2025-10-28,NO1,WIND,406598.577,16941.607375
2025-10-28,NO2,HYDRO,124838322.2,5201596.758333334
2025-10-28,NO2,OTHER,3618.78,150.7825
2025-10-28,NO2,SOLAR,120925.432,5038.559666666667
2025-10-28,NO2,THERMAL,367927.454,15330.310583333334
2025-10-28,NO2,WIND,3088697.69,128695.73708333333
2025-10-28,NO3,HYDRO,68294323.6,2845596.8166666664
2025-10-28,NO3,OTHER,1116.41,46.51708333333334
2025-10-28,NO3,SOLAR,5623.358,234.30658333333335
2025-10-28,NO3,THERMAL,486714.0,20279.75
2025-10-28,NO3,WIND,19596480.39,816520.01625
2025-10-28,NO4,HYDRO,78103132.9,3254297.204166667
2025-10-28,NO4,OTHER,797.976,33.249
2025-10-28,NO4,SOLAR,86.049,3.5853750000000004
2025-10-28,NO4,THERMAL,4223937.0,175997.375
2025-10-28,NO4,WIND,13470636.49,561276.5204166666
2025-10-28,NO5,*,18.775000000000002,0.7822916666666667
2025-10-28,NO5,HYDRO,69098617.3,2879109.0541666667
2025-10-28,NO5,OTHER,200.754,8.364749999999999
2025-10-28,NO5,SOLAR,17514.544,729.7726666666667
2025-10-28,NO5,THERMAL,430704.968,17946.040333333334
2025-10-28,NO5,WIND,1.93,0.08041666666666666
2025-10-29,NO1,HYDRO,64701082.8,2695878.4499999997
2025-10-29,NO1,OTHER,784.477,32.68654166666666
2025-10-29,NO1,SOLAR,73057.37800000001,3044.057416666667
2025-10-29,NO1,THERMAL,242246.418,10093.60075
2025-10-29,NO1,WIND,383400.943,15975.039291666668
2025-10-29,NO2,HYDRO,152919770.3,6371657.095833334
2025-10-29,NO2,OTHER,1818.776,75.78233333333334
2025-10-29,NO2,SOLAR,40827.878000000004,1701.1615833333335
2025-10-29,NO2,THERMAL,354507.076,14771.128166666667
2025-10-29,NO2,WIND,4384435.734,182684.82225
2025-10-29,NO3,HYDRO,77503291.5,3229303.8125
2025-10-29,NO3,OTHER,1632.5,68.02083333333333
