priceArea,consumptionGroup,startTime,quantityKwh,countMeteringPoints
NO1,CABIN,2025-10-22 19:00:00+00:00,67069.06,
NO5,SECONDARY,2025-10-22 19:00:00+00:00,1085012.4,
NO1,TERTIARY,2025-10-22 19:00:00+00:00,1086670.6,
NO4,CABIN,2025-10-22 19:00:00+00:00,46269.73,
NO1,HOUSEHOLD,2025-10-22 19:00:00+00:00,2279264.8,
NO5,TERTIARY,2025-10-22 19:00:00+00:00,270438.03,
NO3,CABIN,2025-10-22 19:00:00+00:00,38055.867,
NO5,HOUSEHOLD,2025-10-22 19:00:00+00:00,477314.5,
NO3,HOUSEHOLD,2025-10-22 19:00:00+00:00,779921.7,
NO3,TERTIARY,2025-10-22 19:00:00+00:00,597513.9,
NO5,PRIMARY,2025-10-22 19:00:00+00:00,13256.897,
NO2,PRIMARY,2025-10-22 19:00:00+00:00,73140.84,
NO2,HOUSEHOLD,2025-10-22 19:00:00+00:00,1136407.6,
NO1,SECONDARY,2025-10-22 19:00:00+00:00,608768.75,
NO4,TERTIARY,2025-10-22 19:00:00+00:00,461131.1,
NO2,CABIN,2025-10-22 19:00:00+00:00,50622.258,
NO1,PRIMARY,2025-10-22 19:00:00+00:00,41247.684,
NO2,TERTIARY,2025-10-22 19:00:00+00:00,539493.56,
NO4,HOUSEHOLD,2025-10-22 19:00:00+00:00,638396.4,
NO5,CABIN,2025-10-22 19:00:00+00:00,35432.21,
NO2,SECONDARY,2025-10-22 19:00:00+00:00,2182400.8,
NO4,SECONDARY,2025-10-22 19:00:00+00:00,1185446.0,
NO3,SECONDARY,2025-10-22 19:00:00+00:00,1777220.2,
NO4,PRIMARY,2025-10-22 19:00:00+00:00,62918.92,
NO3,PRIMARY,2025-10-22 19:00:00+00:00,91297.555,
NO3,HOUSEHOLD,2025-10-22 20:00:00+00:00,762749.7,
NO3,CABIN,2025-10-22 20:00:00+00:00,37907.09,
NO2,CABIN,2025-10-22 20:00:00+00:00,50876.68,
NO3,TERTIARY,2025-10-22 20:00:00+00:00,576006.3,
NO4,PRIMARY,2025-10-22 20:00:00+00:00,61473.664,
NO5,CABIN,2025-10-22 20:00:00+00:00,35463.277,
NO1,PRIMARY,2025-10-22 20:00:00+00:00,37782.973,
NO4,CABIN,2025-10-22 20:00:00+00:00,45484.227,
NO2,PRIMARY,2025-10-22 20:00:00+00:00,65632.64,
NO2,SECONDARY,2025-10-22 20:00:00+00:00,2165426.2,
NO1,TERTIARY,2025-10-22 20:00:00+00:00,1014887.1,
