priceArea,productionGroup,startTime,quantityKwh
NO1,HYDRO,2025-10-22 19:00:00+00:00,2332513.0
NO5,THERMAL,2025-10-22 19:00:00+00:00,20266.242
NO1,SOLAR,2025-10-22 19:00:00+00:00,326.164
NO5,SOLAR,2025-10-22 19:00:00+00:00,51.456
NO1,THERMAL,2025-10-22 19:00:00+00:00,10453.32
NO5,OTHER,2025-10-22 19:00:00+00:00,0.0
NO1,WIND,2025-10-22 19:00:00+00:00,104078.01
NO5,HYDRO,2025-10-22 19:00:00+00:00,3848883.8
NO2,*,2025-10-22 19:00:00+00:00,0.0
NO2,HYDRO,2025-10-22 19:00:00+00:00,7582232.0
NO5,*,2025-10-22 19:00:00+00:00,0.0
NO2,OTHER,2025-10-22 19:00:00+00:00,76.05
NO4,WIND,2025-10-22 19:00:00+00:00,240831.12
NO2,SOLAR,2025-10-22 19:00:00+00:00,137.889
NO4,THERMAL,2025-10-22 19:00:00+00:00,170287.0
NO2,THERMAL,2025-10-22 19:00:00+00:00,17377.29
NO4,SOLAR,2025-10-22 19:00:00+00:00,0.0
NO2,WIND,2025-10-22 19:00:00+00:00,28232.56
NO4,OTHER,2025-10-22 19:00:00+00:00,17.484
NO3,HYDRO,2025-10-22 19:00:00+00:00,2983642.0
NO4,HYDRO,2025-10-22 19:00:00+00:00,3167432.0
NO3,OTHER,2025-10-22 19:00:00+00:00,38.578
NO3,WIND,2025-10-22 19:00:00+00:00,317343.25
NO3,SOLAR,2025-10-22 19:00:00+00:00,7.826
NO1,OTHER,2025-10-22 19:00:00+00:00,15.0
NO5,WIND,2025-10-22 19:00:00+00:00,0.0
NO3,THERMAL,2025-10-22 19:00:00+00:00,4878.44
NO5,SOLAR,2025-10-22 20:00:00+00:00,47.813
NO1,OTHER,2025-10-22 20:00:00+00:00,14.808
NO1,THERMAL,2025-10-22 20:00:00+00:00,10296.9
NO4,HYDRO,2025-10-22 20:00:00+00:00,3211275.5
NO1,SOLAR,2025-10-22 20:00:00+00:00,325.697
NO4,OTHER,2025-10-22 20:00:00+00:00,16.964
NO5,*,2025-10-22 20:00:00+00:00,0.006
NO2,OTHER,2025-10-22 20:00:00+00:00,48.699
NO1,WIND,2025-10-22 20:00:00+00:00,110478.27
NO3,WIND,2025-10-22 20:00:00+00:00,317100.78
NO4,WIND,2025-10-22 20:00:00+00:00,247529.12
NO2,SOLAR,2025-10-22 20:00:00+00:00,131.659
NO4,SOLAR,2025-10-22 20:00:00+00:00,0.001
NO5,THERMAL,2025-10-22 20:00:00+00:00,19081.682
NO1,HYDRO,2025-10-22 20:00:00+00:00,2281520.8
NO5,HYDRO,2025-10-22 20:00:00+00:00,3542215.0
NO5,OTHER,2025-10-22 20:00:00+00:00,0.0
NO2,WIND,2025-10-22 20:00:00+00:00,22427.484
NO2,*,2025-10-22 20:00:00+00:00,0.0
NO2,THERMAL,2025-10-22 20:00:00+00:00,17136.203
NO3,HYDRO,2025-10-22 20:00:00+00:00,2961039.2
NO4,THERMAL,2025-10-22 20:00:00+00:00,171207.0
NO2,HYDRO,2025-10-22 20:00:00+00:00,7113413.0
NO3,OTHER,2025-10-22 20:00:00+00:00,38.988
NO3,THERMAL,2025-10-22 20:00:00+00:00,5091.79
NO3,SOLAR,2025-10-22 20:00:00+00:00,9.8
NO5,WIND,2025-10-22 20:00:00+00:00,0.0
NO5,OTHER,2025-10-22 21:00:00+00:00,0.0
NO2,HYDRO,2025-10-22 21:00:00+00:00,6782737.0
NO4,THERMAL,2025-10-22 21:00:00+00:00,170095.0
NO4,OTHER,2025-10-22 21:00:00+00:00,22.004
NO1,OTHER,2025-10-22 21:00:00+00:00,26.25
NO3,WIND,2025-10-22 21:00:00+00:00,343100.2
NO4,SOLAR,2025-10-22 21:00:00+00:00,0.0
NO3,SOLAR,2025-10-22 21:00:00+00:00,11.01
NO2,THERMAL,2025-10-22 21:00:00+00:00,17380.826
NO5,THERMAL,2025-10-22 21:00:00+00:00,20507.613
NO1,HYDRO,2025-10-22 21:00:00+00:00,2308167.5
NO3,OTHER,2025-10-22 21:00:00+00:00,40.033
NO1,THERMAL,2025-10-22 21:00:00+00:00,10401.74
NO5,WIND,2025-10-22 21:00:00+00:00,0.0
NO3,HYDRO,2025-10-22 21:00:00+00:00,2892054.8
NO3,THERMAL,2025-10-22 21:00:00+00:00,5187.78
NO2,WIND,2025-10-22 21:00:00+00:00,6215.432
NO2,*,2025-10-22 21:00:00+00:00,0.0
NO4,HYDRO,2025-10-22 21:00:00+00:00,3124440.5
NO5,HYDRO,2025-10-22 21:00:00+00:00,3279427.8
NO2,SOLAR,2025-10-22 21:00:00+00:00,136.157
NO5,*,2025-10-22 21:00:00+00:00,0.0
NO4,WIND,2025-10-22 21:00:00+00:00,239254.36
NO2,OTHER,2025-10-22 21:00:00+00:00,63.5
NO1,WIND,2025-10-22 21:00:00+00:00,74927.23
NO5,SOLAR,2025-10-22 21:00:00+00:00,43.662
NO1,SOLAR,2025-10-22 21:00:00+00:00,355.892
NO4,HYDRO,2025-10-22 22:00:00+00:00,3057723.5
NO1,OTHER,2025-10-22 22:00:00+00:00,30.4
NO2,HYDRO,2025-10-22 22:00:00+00:00,6576912.0
NO3,THERMAL,2025-10-22 22:00:00+00:00,5072.52
NO1,HYDRO,2025-10-22 22:00:00+00:00,2253987.5
NO4,OTHER,2025-10-22 22:00:00+00:00,22.44
NO4,WIND,2025-10-22 22:00:00+00:00,215653.36
NO2,SOLAR,2025-10-22 22:00:00+00:00,134.875
NO2,WIND,2025-10-22 22:00:00+00:00,1329.134
NO5,WIND,2025-10-22 22:00:00+00:00,0.0
NO3,HYDRO,2025-10-22 22:00:00+00:00,2872238.2
NO2,*,2025-10-22 22:00:00+00:00,0.0
NO1,SOLAR,2025-10-22 22:00:00+00:00,427.422
NO5,HYDRO,2025-10-22 22:00:00+00:00,3164150.2
NO2,OTHER,2025-10-22 22:00:00+00:00,65.404
NO5,*,2025-10-22 22:00:00+00:00,0.0
NO1,WIND,2025-10-22 22:00:00+00:00,68135.16
NO5,SOLAR,2025-10-22 22:00:00+00:00,41.366
NO3,WIND,2025-10-22 22:00:00+00:00,317249.78
NO1,THERMAL,2025-10-22 22:00:00+00:00,10186.12
NO5,OTHER,2025-10-22 22:00:00+00:00,0.0
NO5,THERMAL,2025-10-22 22:00:00+00:00,21603.994
NO3,OTHER,2025-10-22 22:00:00+00:00,42.706
NO3,SOLAR,2025-10-22 22:00:00+00:00,14.018
NO4,SOLAR,2025-10-22 22:00:00+00:00,0.002
NO2,THERMAL,2025-10-22 22:00:00+00:00,17044.42
NO4,THERMAL,2025-10-22 22:00:00+00:00,170392.0
NO1,HYDRO,2025-10-22 23:00:00+00:00,2241552.0
NO4,THERMAL,2025-10-22 23:00:00+00:00,172733.0
NO2,WIND,2025-10-22 23:00:00+00:00,622.05
NO3,THERMAL,2025-10-22 23:00:00+00:00,5127.06
NO1,WIND,2025-10-22 23:00:00+00:00,55800.08
NO4,HYDRO,2025-10-22 23:00:00+00:00,3082486.0
NO2,OTHER,2025-10-22 23:00:00+00:00,49.116
NO1,SOLAR,2025-10-22 23:00:00+00:00,515.379
NO5,THERMAL,2025-10-22 23:00:00+00:00,21220.424
NO5,*,2025-10-22 23:00:00+00:00,0.0
NO1,THERMAL,2025-10-22 23:00:00+00:00,10035.5
NO3,HYDRO,2025-10-22 23:00:00+00:00,2787184.0
NO3,SOLAR,2025-10-22 23:00:00+00:00,18.88
NO2,*,2025-10-22 23:00:00+00:00,0.0
NO5,HYDRO,2025-10-22 23:00:00+00:00,3054161.8
NO3,WIND,2025-10-22 23:00:00+00:00,383238.2
NO5,SOLAR,2025-10-22 23:00:00+00:00,34.72
NO2,THERMAL,2025-10-22 23:00:00+00:00,17756.361
NO3,OTHER,2025-10-22 23:00:00+00:00,43.099
NO5,OTHER,2025-10-22 23:00:00+00:00,0.0
NO4,SOLAR,2025-10-22 23:00:00+00:00,0.0
NO5,WIND,2025-10-22 23:00:00+00:00,0.0
NO1,OTHER,2025-10-22 23:00:00+00:00,30.57
NO2,HYDRO,2025-10-22 23:00:00+00:00,6373137.5
NO4,WIND,2025-10-22 23:00:00+00:00,196055.92
NO4,OTHER,2025-10-22 23:00:00+00:00,19.84
NO2,SOLAR,2025-10-22 23:00:00+00:00,138.339
NO5,OTHER,2025-10-23 00:00:00+00:00,0.0
NO1,HYDRO,2025-10-23 00:00:00+00:00,2252016.2
NO3,HYDRO,2025-10-23 00:00:00+00:00,2751902.5
NO2,SOLAR,2025-10-23 00:00:00+00:00,129.057
NO1,SOLAR,2025-10-23 00:00:00+00:00,583.433
NO3,THERMAL,2025-10-23 00:00:00+00:00,5129.02
NO3,WIND,2025-10-23 00:00:00+00:00,382522.38
NO5,THERMAL,2025-10-23 00:00:00+00:00,20646.377
NO2,THERMAL,2025-10-23 00:00:00+00:00,17380.09
NO4,WIND,2025-10-23 00:00:00+00:00,212347.08
NO4,OTHER,2025-10-23 00:00:00+00:00,20.28
NO2,WIND,2025-10-23 00:00:00+00:00,841.77
NO2,HYDRO,2025-10-23 00:00:00+00:00,6108228.5
NO5,HYDRO,2025-10-23 00:00:00+00:00,3039464.0
NO5,*,2025-10-23 00:00:00+00:00,0.004
NO4,HYDRO,2025-10-23 00:00:00+00:00,3037004.0
NO1,WIND,2025-10-23 00:00:00+00:00,35739.38
NO3,OTHER,2025-10-23 00:00:00+00:00,43.926
NO2,*,2025-10-23 00:00:00+00:00,0.0
NO4,SOLAR,2025-10-23 00:00:00+00:00,0.0
NO1,THERMAL,2025-10-23 00:00:00+00:00,10077.4
NO3,SOLAR,2025-10-23 00:00:00+00:00,18.868
NO5,SOLAR,2025-10-23 00:00:00+00:00,30.866
NO5,WIND,2025-10-23 00:00:00+00:00,0.0
NO4,THERMAL,2025-10-23 00:00:00+00:00,172038.0
NO1,OTHER,2025-10-23 00:00:00+00:00,29.65
NO2,OTHER,2025-10-23 00:00:00+00:00,37.22
NO1,WIND,2025-10-23 01:00:00+00:00,27681.809
NO4,WIND,2025-10-23 01:00:00+00:00,224097.88
NO1,THERMAL,2025-10-23 01:00:00+00:00,10335.94
