date,priceArea,consumptionGroup,quantityKwh_sum,quantityKwh_mean,countMeteringPoints_sum
2025-10-22,NO1,CABIN,329101.959,65820.3918,0.0
2025-10-22,NO1,HOUSEHOLD,9964986.1,1992997.22,0.0
2025-10-22,NO1,PRIMARY,184975.642,36995.1284,0.0
2025-10-22,NO1,SECONDARY,2886397.85,577279.5700000001,0.0
2025-10-22,NO1,TERTIARY,4841191.0,968238.2,0.0
2025-10-22,NO2,CABIN,250970.688,50194.1376,0.0
2025-10-22,NO2,HOUSEHOLD,5007538.5,1001507.7,0.0
2025-10-22,NO2,PRIMARY,334005.746,66801.1492,0.0
2025-10-22,NO2,SECONDARY,10773750.9,2154750.18,0.0
2025-10-22,NO2,TERTIARY,2434995.52,486999.104,0.0
2025-10-22,NO3,CABIN,186248.777,37249.7554,0.0
2025-10-22,NO3,HOUSEHOLD,3476042.4499999997,695208.49,0.0
2025-10-22,NO3,PRIMARY,417500.683,83500.1366,0.0
2025-10-22,NO3,SECONDARY,8746602.8,1749320.56,0.0
2025-10-22,NO3,TERTIARY,2817227.7600000002,563445.552,0.0
2025-10-22,NO4,CABIN,223509.507,44701.9014,0.0
2025-10-22,NO4,HOUSEHOLD,2904289.28,580857.8559999999,0.0
2025-10-22,NO4,PRIMARY,299986.718,59997.3436,0.0
2025-10-22,NO4,SECONDARY,5862383.8,1172476.76,0.0
2025-10-22,NO4,TERTIARY,2152684.56,430536.912,0.0
2025-10-22,NO5,CABIN,174946.815,34989.363,0.0
2025-10-22,NO5,HOUSEHOLD,2120900.06,424180.012,0.0
2025-10-22,NO5,PRIMARY,62597.115000000005,12519.423,0.0
2025-10-22,NO5,SECONDARY,5388601.2,1077720.24,0.0
2025-10-22,NO5,TERTIARY,1211662.86,242332.57200000001,0.0
2025-10-23,NO1,CABIN,1595779.858,66490.82741666667,0.0
2025-10-23,NO1,HOUSEHOLD,45506989.8,1896124.575,0.0
2025-10-23,NO1,PRIMARY,1041187.588,43382.816166666664,0.0
2025-10-23,NO1,SECONDARY,16796755.490000002,699864.8120833334,0.0
2025-10-23,NO1,TERTIARY,28615435.830000002,1192309.8262500002,0.0
2025-10-23,NO2,CABIN,1304887.748,54370.32283333333,0.0
2025-10-23,NO2,HOUSEHOLD,23383733.82,974322.2425,0.0
2025-10-23,NO2,PRIMARY,1958027.328,81584.472,0.0
2025-10-23,NO2,SECONDARY,53733862.9,2238910.9541666666,0.0
2025-10-23,NO2,TERTIARY,14915729.22,621488.7175,0.0
2025-10-23,NO3,CABIN,899964.474,37498.51975,0.0
2025-10-23,NO3,HOUSEHOLD,15501996.06,645916.5025000001,0.0
2025-10-23,NO3,PRIMARY,2160560.504,90023.35433333334,0.0
2025-10-23,NO3,SECONDARY,42798677.1,1783278.2125000001,0.0
2025-10-23,NO3,TERTIARY,15426778.26,642782.4275,0.0
2025-10-23,NO4,CABIN,1031361.945,42973.414375,0.0
2025-10-23,NO4,HOUSEHOLD,13286563.98,553606.8325,0.0
2025-10-23,NO4,PRIMARY,1499695.781,62487.32420833333,0.0
2025-10-23,NO4,SECONDARY,28121326.1,1171721.9208333334,0.0
2025-10-23,NO4,TERTIARY,11374410.84,473933.785,0.0
2025-10-23,NO5,CABIN,863169.143,35965.380958333335,0.0
2025-10-23,NO5,HOUSEHOLD,9770119.71,407088.32125000004,0.0
2025-10-23,NO5,PRIMARY,321139.474,13380.811416666666,0.0
2025-10-23,NO5,SECONDARY,26270079.6,1094586.6500000001,0.0
2025-10-23,NO5,TERTIARY,7208414.63,300350.6095833333,0.0
2025-10-24,NO1,CABIN,1839922.365,76663.431875,0.0
2025-10-24,NO1,HOUSEHOLD,39573943.0,1648914.2916666667,0.0
2025-10-24,NO1,PRIMARY,1091558.055,45481.585625,0.0
2025-10-24,NO1,SECONDARY,15838074.959999999,659919.7899999999,0.0
2025-10-24,NO1,TERTIARY,28780178.59,1199174.1079166667,0.0
2025-10-24,NO2,CABIN,1457543.741,60730.98920833333,0.0
2025-10-24,NO2,HOUSEHOLD,22956323.1,956513.4625,0.0
2025-10-24,NO2,PRIMARY,1979576.783,82482.36595833334,0.0
2025-10-24,NO2,SECONDARY,56745782.9,2364407.620833333,0.0
2025-10-24,NO2,TERTIARY,14624199.84,609341.66,0.0
2025-10-24,NO3,CABIN,1068284.068,44511.83616666667,0.0
2025-10-24,NO3,HOUSEHOLD,16259409.3,677475.3875000001,0.0
2025-10-24,NO3,PRIMARY,2192619.6720000003,91359.153,0.0
2025-10-24,NO3,SECONDARY,44219947.1,1842497.7958333334,0.0
2025-10-24,NO3,TERTIARY,15614787.08,650616.1283333333,0.0
2025-10-24,NO4,CABIN,1086795.213,45283.133875,0.0
2025-10-24,NO4,HOUSEHOLD,13087289.9,545303.7458333333,0.0
2025-10-24,NO4,PRIMARY,1482199.958,61758.33158333334,0.0
2025-10-24,NO4,SECONDARY,28374917.5,1182288.2291666667,0.0
2025-10-24,NO4,TERTIARY,11310869.78,471286.2408333333,0.0
2025-10-24,NO5,CABIN,956875.606,39869.81691666667,0.0
2025-10-24,NO5,HOUSEHOLD,9614527.42,400605.30916666664,0.0
2025-10-24,NO5,PRIMARY,330751.485,13781.311875,0.0
2025-10-24,NO5,SECONDARY,27831723.2,1159655.1333333333,0.0
2025-10-24,NO5,TERTIARY,6933485.74,288895.2391666667,0.0
2025-10-25,NO1,CABIN,1920536.814,80022.36725,0.0
2025-10-25,NO1,HOUSEHOLD,39845479.5,1660228.3125,0.0
2025-10-25,NO1,PRIMARY,1054580.058,43940.83575,0.0
2025-10-25,NO1,SECONDARY,14057695.02,585737.2925,0.0
2025-10-25,NO1,TERTIARY,23858711.89,994112.9954166667,0.0
2025-10-25,NO2,CABIN,1524481.505,63520.06270833333,0.0
2025-10-25,NO2,HOUSEHOLD,23017596.04,959066.5016666666,0.0
2025-10-25,NO2,PRIMARY,1965239.582,81884.98258333333,0.0
2025-10-25,NO2,SECONDARY,58268489.5,2427853.7291666665,0.0
2025-10-25,NO2,TERTIARY,12229559.26,509564.9691666667,0.0
2025-10-25,NO3,CABIN,1088145.734,45339.40558333333,0.0
2025-10-25,NO3,HOUSEHOLD,15827808.23,659492.0095833334,0.0
2025-10-25,NO3,PRIMARY,2162174.5810000002,90090.60754166667,0.0
2025-10-25,NO3,SECONDARY,44315177.2,1846465.7166666668,0.0
2025-10-25,NO3,TERTIARY,13868717.6,577863.2333333333,0.0
2025-10-25,NO4,CABIN,1208858.914,50369.12141666667,0.0
2025-10-25,NO4,HOUSEHOLD,13809432.16,575393.0066666667,0.0
2025-10-25,NO4,PRIMARY,1479894.296,61662.26233333334,0.0
2025-10-25,NO4,SECONDARY,27743227.9,1155967.8291666666,0.0
2025-10-25,NO4,TERTIARY,10713607.24,446400.3016666667,0.0
2025-10-25,NO5,CABIN,969056.625,40377.359375,0.0
2025-10-25,NO5,HOUSEHOLD,9493272.99,395553.04125,0.0
2025-10-25,NO5,PRIMARY,317743.979,13239.332458333332,0.0
2025-10-25,NO5,SECONDARY,32034170.400000002,1334757.1,0.0
2025-10-25,NO5,TERTIARY,5891285.08,245470.21166666667,0.0
2025-10-26,NO1,CABIN,1721685.901,71736.91254166666,0.0
2025-10-26,NO1,HOUSEHOLD,42211025.5,1758792.7291666667,0.0
2025-10-26,NO1,PRIMARY,1052904.727,43871.03029166666,0.0
2025-10-26,NO1,SECONDARY,14222308.68,592596.195,0.0
2025-10-26,NO1,TERTIARY,23036603.47,959858.4779166667,0.0
2025-10-26,NO2,CABIN,1399599.661,58316.65254166667,0.0
2025-10-26,NO2,HOUSEHOLD,24534009.54,1022250.3975,0.0
2025-10-26,NO2,PRIMARY,1974331.54,82263.81416666666,0.0
2025-10-26,NO2,SECONDARY,58936227.4,2455676.1416666666,0.0
2025-10-26,NO2,TERTIARY,11855541.0,493980.875,0.0
2025-10-26,NO3,CABIN,978054.313,40752.263041666665,0.0
2025-10-26,NO3,HOUSEHOLD,16544931.35,689372.1395833333,0.0
2025-10-26,NO3,PRIMARY,2187757.513,91156.56304166665,0.0
2025-10-26,NO3,SECONDARY,44451160.2,1852131.675,0.0
